Country Name,latitude,longitude,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burkina Faso,12.655182,-1.473625,3.160000086,3.210000038,3.25,3.329999924,3.680000067,4.070000172,4.550000191,5.070000172,5.679999828,6.340000153,7.110000134,8,9.050000191,10.19999981,11.48999977,13.02000046,14.68999958,16.48999977,18.54000092,20.78000069,23.22999954,25.82999992,28.62999916,31.54999924,29.85000038,28.20999908,26.67000008,25.25,25.15999985
United Kingdom,52.418788,-1.247349,30.42000008,29.86000061,29.38999939,27.78000069,27.42000008,27.42000008,26.86000061,26.67000008,25.80999947,25.17000008,24.63999939,23.90999985,23.34000015,22.29999924,22.21999931,22.05999947,22.19000053,22,19.61000061,19.20999908,19.18000031,19.06999969,18.87000084,18.96999931,18.65999985,18.46999931,18.26000023,18.12999916,18.12000084
Hong Kong,22.440384,114.098975,34.88999939,32.95999908,29.79999924,27.93000031,27,25.55999947,24.19000053,22.54999924,21.13999939,20.32999992,19.36000061,18.26000023,17.11000061,15.57999992,15.06999969,14.72999954,14.14000034,13.46000004,13.14000034,12.82999992,12.57999992,12.35999966,12.18999958,12.05000019,11.89999962,11.81000042,11.56999969,11.31999969,11.07999992
India,22.412321,79.132924,15.18000031,15.23999977,15.27000046,15.43000031,15.60000038,15.77000046,15.77000046,15.89000034,16.18000031,16.31999969,16.62999916,16.92000008,17.5,18.26000023,18.79999924,19.42000008,20.09000015,20.42000008,21.09000015,21.80999947,23.10000038,24.36000061,24.37000084,24.45000076,24.54000092,24.73999977,24.86000061,24.95000076,25.12000084
Cambodia,12.635759,104.480812,6.019999981,6.179999828,6.28000021,5.769999981,6.090000153,6.340000153,6.610000134,6.880000114,7.610000134,8.539999962,11,11.5,11.89999962,12.53999996,13.27999973,14,14.72000027,15.13000011,15.61999989,16.04000092,16.46999931,17.76000023,19.28000069,23.77000046,24.92000008,25.76000023,25.48999977,27.02000046,27.90999985
South Korea,36.382192,128.123986,36.81999969,35.75,34.02000046,33.63000107,33.43999863,32.63999939,31.43000031,27.97999954,27.51000023,28.14999962,27.47999954,27.31999969,27.61000061,27.15999985,26.65999985,26.14999962,25.79000092,25.30999947,24.5,25.02000046,24.85000038,24.57999992,27.57999992,25,25.38999939,25.20000076,25.27000046,25.20000076,24.57999992
Laos,19.43535,102.560667,2.799999952,2.910000086,3.079999924,3.309999943,3.519999981,3.829999924,3.859999895,4.139999866,4.389999866,4.559999943,4.840000153,5.130000114,5.400000095,5.679999828,6.050000191,6.289999962,6.929999828,7.300000191,7.900000095,8.319999695,8.869999886,9.56000042,10.15999985,10.43999958,10.98999977,11.35000038,11.93000031,12.64999962,12.93999958
Luxembourg,49.759178,6.086636,27.11000061,26.59000015,26.42000008,26.97999954,25.26000023,22.94000053,23.31999969,21.61000061,21.97999954,20.79000092,21.43000031,20.09000015,19.29000092,18.85000038,17.29999924,16.69000053,16.92000008,15.27999973,12.90999985,13.35000038,13.35999966,12.67000008,12.03999996,10.97999954,12.52000046,12.05000019,10.76000023,11.75,10.81000042
Macao,22.139833,113.563619,38.04999924,37.40999985,36.63999939,35.79000092,34.86000061,33.81999969,32.97999954,32.04000092,30.47999954,28.04999924,30.45999908,28.44000053,26.86000061,25.13999939,24.90999985,23.03000069,18.02000046,19.69000053,15.68000031,13.67000008,12.85999966,12.80000019,12.64000034,15.65999985,15.80000019,13.67000008,10.56999969,9.979999542,9.659999847
Malta,35.888972,14.431432,35.24000168,35.04999924,34.86999893,34.68000031,34.50999832,34.15000153,33.84000015,33.54999924,33.15999985,32.75,30.93000031,31.53000069,29.87999916,29.45000076,29.85000038,28.34000015,26.31999969,25.55999947,25.02000046,25.52000046,24.52000046,22.17000008,21.56999969,20.71999931,20.01000023,19.86000061,19.80999947,18.60000038,18.92000008
Mauritius,-20.321973,57.534935,40.29000092,39.97999954,39.59999847,39.20999908,39.83000183,38.18000031,37.68000031,38.27000046,38.49000168,39.25,36.56000137,36.61999893,34.08000183,33.58000183,32.43999863,32.13999939,31.94000053,31.77000046,29.68000031,28.70999908,28.13999939,27.98999977,27.39999962,26.76000023,26.11000061,25.42000008,24.72999954,24.11000061,23.68000031
Nepal,28.323184,83.60374,2.75999999,3.210000038,3.74000001,4.449999809,5.199999809,6.119999886,7.199999809,8.380000114,9.840000153,10.52000046,10.97999954,11.21000004,11.53999996,11.80000019,11.97000027,12.11999989,12.25,12.56999969,12.73999977,12.98999977,13.15999985,13.40999985,13.64999962,13.97999954,14.14000034,14.05000019,14.47999954,14.81000042,15.10999966
Oman,22.113184,57.345652,7.400000095,7.5,7.579999924,7.550000191,7.619999886,7.679999828,8.479999542,9.18999958,10.05000019,11.18999958,12.42000008,13.69999981,15.10999966,16.75,18.81999969,21.14999962,23.59000015,26.19000053,30.84000015,36.88000107,35.99000168,35.68000031,34.83000183,34,33.22999954,32.52999878,32.13999939,32.47999954,32.00999832
Papua New Guinea,-5.695438,143.910495,3.00999999,3.099999905,3.200000048,3.269999981,3.220000029,3.50999999,3.480000019,3.450000048,3.5,3.690000057,3.910000086,4.179999828,4.380000114,4.630000114,4.869999886,5.28000021,5.71999979,5.920000076,6.619999886,7.889999866,8.210000038,9,9.899999619,10.32999992,11.11999989,11.40999985,11.92000008,12.56999969,13.22999954
North Korea,40.248916,126.699424,26.64999962,25.5,24.45999908,23.55999947,22.39999962,21.29999924,19.71999931,18.92000008,19.27000046,18.68000031,18.65999985,18.20999908,17.89999962,17.64999962,17.72999954,16.95999908,16.23999977,16.27000046,15.64999962,15.15999985,14.86999989,14.68000031,14.46000004,14.26000023,13.77999973,14,13.18000031,12.35999966,12.72999954
Qatar,25.199602,51.160939,30.81999969,31.17000008,30.88999939,31.35000038,31.70999908,31.92000008,33.18000031,34.02999878,35.34999847,36.97999954,38.40000153,39.06000137,39.81000137,41.00999832,41.09999847,41.56000137,51.86000061,59.58000183,58.45000076,56.33000183,54.11000061,51.79000092,51.70999908,52.95999908,54.13999939,54.54999924,54.50999832,54.31999969,53.70000076
Russian Federation,63.314401,93.884016,39.95999908,38.90000153,38.15000153,35.99000168,34.08000183,32.54999924,30.01000023,29.12999916,29,29.23999977,30.18000031,30.17000008,30.22999954,29.72999954,29.26000023,28.90999985,29.19000053,28.67000008,27.5,27.76000023,27.45000076,27.80999947,27.79000092,27.60000038,27.28000069,27.02000046,26.96999931,26.80999947,26.79000092
Singapore,1.357685,103.80938,35.15999985,34.63000107,33.88000107,32.75,30.95999908,30.25,30.79999924,30.13999939,29.53000069,27.95000076,26.57999992,25.97999954,25.89999962,24.90999985,22.73999977,23.29999924,23.60000038,23.73999977,23.23999977,21.86000061,20.87000084,20.54000092,19.87999916,17.73999977,17.38999939,16.87999916,16.43000031,16,15.55000019
United States,39.715956,-96.999668,25.95999908,25.82999992,25.70999908,25.63999939,25.48999977,25.30999947,25.12999916,24.92000008,24.69000053,24.44000053,23.73999977,22.75,22.45000076,22.38999939,22.26000023,22.35000038,22.13999939,21.45999908,20,19.63999939,19.70999908,19.73999977,19.95000076,19.97999954,19.86000061,19.78000069,19.72999954,19.87000084,19.90999985
Vietnam,21.732568,105.396672,10.11999989,10.57999992,11.09000015,11.47000027,11.81999969,12.25,12.68000031,11.57999992,11.98999977,12.43999958,13.89999962,14.69999981,16.40999985,17.35000038,18.73999977,20.19000053,20.38999939,21,21.85000038,21.68000031,21.28000069,21.19000053,21.18000031,21.45000076,22.73999977,24.76000023,25.78000069,26.63999939,27.44000053
Vanuatu,-15.388977,166.885687,0.280000001,0.289999992,0.300000012,0.310000002,0.319999993,0.340000004,0.319999993,0.340000004,0.360000014,0.389999986,0.409999996,0.419999987,0.469999999,0.540000021,0.639999986,0.790000021,1.330000043,2.75999999,7.03000021,6.860000134,6.920000076,7.389999866,8.5,9,10.90999985,11.89000034,12.67000008,13.39000034,14.07999992
